ID,Animal,Weight (kg),Lifespan (years),Diet,Habitat,Conservation Status
320,Aardvark,325.0,25.0,Insectivore,Savannas,Least Concern
321,Aardvark,185.0,65.0,Insectivore,Grasslands,Least Concern
322,Alligator,4350.0,11.0,Insectivore,Wetlands,Least Concern
323,African Elephant,11.0,35.0,Carnivore,Grasslands,Near Threatened
324,Albatross,52.5,42.5,Insectivore,Savannahs,Near Threatened
325,African Wild Dog,27.0,42.5,Herbivore,Wetlands,Least Concern
326,Alligator,27.0,42.5,Carnivore,Oceans,Least Concern
327,Alligator,4350.0,11.0,Insectivore,Oceans,Near Threatened
328,African Elephant,325.0,35.0,Insectivore,Savannas,Least Concern
329,Albatross,11.5,35.0,Carnivore,Wetlands,Least Concern
330,African Elephant,185.0,65.0,Carnivore,Savannahs,Near Threatened
331,Aardvark,325.0,25.0,Piscivore,Savannas,Near Threatened
332,African Wild Dog,185.0,42.5,Insectivore,Savannah,Least Concern
333,African Lion,4350.0,11.0,Carnivore,Grasslands,Endangered
334,Albatross,185.0,65.0,Insectivore,Wetlands,Near Threatened
335,Albatross,325.0,12.0,Insectivore,Savannah,Vulnerable
336,Albatross,4350.0,35.0,Carnivore,Savannah,Least Concern
337,Albatross,27.0,35.0,Piscivore,Oceans,Least Concern
338,African Elephant,27.0,65.0,Carnivore,Savannas,Least Concern
339,Aardwolf,11.5,11.0,Insectivore,Grasslands,Near Threatened
340,Alligator,185.0,65.0,Insectivore,Savannas,Least Concern
341,Alligator,27.0,25.0,Carnivore,Savannahs,Least Concern
342,African Elephant,52.5,11.0,Carnivore,Wetlands,Near Threatened
343,Aardwolf,11.0,11.0,Herbivore,Grasslands,Least Concern
344,Alligator,11.0,11.0,Piscivore,Wetlands,Vulnerable
345,Aardvark,4350.0,65.0,Carnivore,Oceans,Least Concern
346,Alligator,4350.0,12.0,Herbivore,Grasslands,Least Concern
347,Albatross,325.0,65.0,Carnivore,Oceans,Endangered
348,Aardvark,52.5,12.0,Insectivore,Grasslands,Near Threatened
349,Alligator,325.0,25.0,Insectivore,Savannah,Endangered
350,African Lion,11.0,11.0,Carnivore,Grasslands,Least Concern
351,African Elephant,52.5,65.0,Carnivore,Oceans,Near Threatened
352,African Elephant,52.5,65.0,Carnivore,Grasslands,Vulnerable
353,African Elephant,52.5,35.0,Insectivore,Savannas,Vulnerable
354,African Wild Dog,52.5,25.0,Herbivore,Oceans,Least Concern
355,African Wild Dog,52.5,11.0,Herbivore,Savannas,Least Concern
356,Alligator,11.0,65.0,Carnivore,Savannah,Endangered
357,Albatross,27.0,25.0,Piscivore,Oceans,Near Threatened
358,Albatross,4350.0,12.0,Herbivore,Oceans,Least Concern
359,African Elephant,325.0,65.0,Piscivore,Oceans,Vulnerable
360,African Wild Dog,11.0,11.0,Piscivore,Grasslands,Least Concern
361,Alligator,4350.0,11.0,Insectivore,Grasslands,Least Concern
362,African Wild Dog,11.5,25.0,Carnivore,Oceans,Least Concern
363,Aardvark,185.0,42.5,Carnivore,Savannas,Near Threatened
364,African Lion,52.5,11.0,Carnivore,Wetlands,Endangered
365,Alligator,27.0,25.0,Insectivore,Savannah,Least Concern
366,African Elephant,27.0,11.0,Carnivore,Wetlands,Least Concern
367,African Wild Dog,185.0,12.0,Carnivore,Grasslands,Least Concern
368,African Elephant,11.0,35.0,Insectivore,Grasslands,Least Concern
369,African Elephant,4350.0,65.0,Carnivore,Grasslands,Least Concern
370,Alligator,27.0,11.0,Insectivore,Savannah,Endangered
371,Alligator,11.0,65.0,Carnivore,Savannas,Least Concern
372,Alligator,52.5,11.0,Piscivore,Savannas,Endangered
373,Aardwolf,11.0,35.0,Herbivore,Savannas,Least Concern
374,Aardwolf,27.0,42.5,Carnivore,Grasslands,Near Threatened
375,African Lion,185.0,42.5,Carnivore,Savannahs,Vulnerable
376,Albatross,52.5,25.0,Carnivore,Savannah,Vulnerable
377,African Lion,11.0,11.0,Carnivore,Savannah,Least Concern
378,Aardvark,27.0,11.0,Piscivore,Savannas,Endangered
379,Aardwolf,4350.0,65.0,Herbivore,Wetlands,Near Threatened
380,African Wild Dog,185.0,11.0,Piscivore,Grasslands,Least Concern
381,African Lion,27.0,11.0,Carnivore,Grasslands,Vulnerable
382,Alligator,27.0,25.0,Piscivore,Oceans,Least Concern
383,Aardvark,11.0,12.0,Piscivore,Grasslands,Vulnerable
384,Albatross,4350.0,12.0,Insectivore,Savannah,Near Threatened
385,Albatross,11.5,11.0,Carnivore,Savannahs,Near Threatened
386,Alligator,11.0,11.0,Carnivore,Savannas,Least Concern
387,Alligator,52.5,11.0,Carnivore,Oceans,Near Threatened
388,Albatross,325.0,12.0,Carnivore,Oceans,Vulnerable
389,African Lion,52.5,65.0,Herbivore,Savannahs,Least Concern
390,African Wild Dog,185.0,25.0,Insectivore,Oceans,Least Concern
391,Aardwolf,27.0,11.0,Insectivore,Wetlands,Vulnerable
392,African Elephant,11.5,11.0,Carnivore,Savannas,Least Concern
393,Alligator,11.5,12.0,Piscivore,Oceans,Least Concern
394,African Elephant,185.0,25.0,Insectivore,Savannas,Vulnerable
395,Alligator,27.0,35.0,Insectivore,Savannas,Near Threatened
396,African Lion,185.0,11.0,Piscivore,Grasslands,Least Concern
397,African Wild Dog,52.5,42.5,Piscivore,Savannahs,Vulnerable
398,African Elephant,11.5,42.5,Insectivore,Savannahs,Least Concern
399,African Elephant,11.5,25.0,Carnivore,Grasslands,Least Concern
400,African Lion,11.0,35.0,Carnivore,Grasslands,Vulnerable
401,Aardwolf,325.0,25.0,Herbivore,Savannahs,Least Concern
402,Alligator,52.5,11.0,Insectivore,Savannah,Least Concern
403,Alligator,4350.0,35.0,Carnivore,Oceans,Least Concern
404,Aardvark,11.5,11.0,Insectivore,Grasslands,Endangered
405,Aardwolf,185.0,35.0,Insectivore,Savannahs,Least Concern
406,African Wild Dog,52.5,42.5,Herbivore,Oceans,Endangered
407,Albatross,52.5,65.0,Herbivore,Oceans,Least Concern
408,Aardvark,52.5,12.0,Carnivore,Grasslands,Vulnerable
409,Albatross,11.5,11.0,Carnivore,Savannas,Vulnerable
410,African Lion,4350.0,65.0,Herbivore,Oceans,Least Concern
411,African Lion,4350.0,35.0,Piscivore,Savannahs,Least Concern
